"continent","semana","casos_por_milhao_semana","mortes_por_milhao_semana"
"Africa","2020-01-20","0.00","0.00"
"Africa","2020-01-27","0.00","0.00"
"Africa","2020-02-03","0.00","0.00"
"Africa","2020-02-10","0.00","0.00"
"Africa","2020-02-17","0.00","0.00"
"Africa","2020-02-24","0.00","0.00"
"Africa","2020-03-02","0.01","0.00"
"Africa","2020-03-09","0.03","0.00"
"Africa","2020-03-16","0.13","0.00"
"Africa","2020-03-23","0.37","0.01"
"Africa","2020-03-30","0.51","0.03"
"Africa","2020-04-06","0.56","0.04"
"Africa","2020-04-13","0.86","0.04"
"Africa","2020-04-20","1.07","0.03"
"Africa","2020-04-27","1.40","0.04"
"Africa","2020-05-04","2.14","0.06"
"Africa","2020-05-11","2.37","0.05"
"Africa","2020-05-18","3.08","0.07"
"Africa","2020-05-25","3.89","0.10"
"Africa","2020-06-01","4.73","0.11"
"Africa","2020-06-08","5.83","0.15"
"Africa","2020-06-15","7.08","0.19"
"Africa","2020-06-22","8.50","0.17"
"Africa","2020-06-29","10.71","0.19"
"Africa","2020-07-06","13.50","0.22"
"Africa","2020-07-13","14.55","0.22"
"Africa","2020-07-20","14.50","0.30"
"Africa","2020-07-27","10.86","0.33"
"Asia","2020-01-20","0.00","0.00"
"Asia","2020-01-27","0.00","0.00"
"Asia","2020-02-03","0.00","0.00"
"Asia","2020-02-10","0.00","0.00"
"Asia","2020-02-17","0.01","0.00"
"Asia","2020-02-24","0.06","0.00"
"Asia","2020-03-02","0.30","0.01"
"Asia","2020-03-09","0.46","0.03"
"Asia","2020-03-16","0.70","0.05"
"Asia","2020-03-23","1.78","0.06"
"Asia","2020-03-30","2.80","0.09"
"Asia","2020-04-06","3.38","0.11"
"Asia","2020-04-13","3.81","0.12"
"Asia","2020-04-20","4.06","0.11"
"Asia","2020-04-27","3.93","0.11"
"Asia","2020-05-04","5.04","0.12"
"Asia","2020-05-11","5.88","0.12"
"Asia","2020-05-18","7.36","0.13"
"Asia","2020-05-25","8.13","0.16"
"Asia","2020-06-01","10.48","0.20"
"Asia","2020-06-08","11.92","0.25"
"Asia","2020-06-15","13.19","0.38"
"Asia","2020-06-22","14.48","0.31"
"Asia","2020-06-29","17.14","0.35"
"Asia","2020-07-06","17.60","0.38"
"Asia","2020-07-13","20.57","0.45"
"Asia","2020-07-20","23.42","0.47"
"Asia","2020-07-27","22.70","0.40"
"Australia/Oceania","2020-01-20","0.02","0.00"
"Australia/Oceania","2020-01-27","0.03","0.00"
"Australia/Oceania","2020-02-03","0.01","0.00"
"Australia/Oceania","2020-02-10","0.00","0.00"
"Australia/Oceania","2020-02-17","0.00","0.00"
"Australia/Oceania","2020-02-24","0.05","0.00"
"Australia/Oceania","2020-03-02","0.19","0.01"
"Australia/Oceania","2020-03-09","0.79","0.00"
"Australia/Oceania","2020-03-16","4.77","0.01"
"Australia/Oceania","2020-03-23","10.08","0.04"
"Australia/Oceania","2020-03-30","7.90","0.07"
"Australia/Oceania","2020-04-06","3.27","0.10"
"Australia/Oceania","2020-04-13","1.42","0.05"
"Australia/Oceania","2020-04-20","0.51","0.08"
"Australia/Oceania","2020-04-27","0.45","0.05"
"Australia/Oceania","2020-05-04","0.48","0.01"
"Australia/Oceania","2020-05-11","0.38","0.01"
"Australia/Oceania","2020-05-18","0.23","0.01"
"Australia/Oceania","2020-05-25","0.31","0.01"
